what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1386715941733
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1386715941733
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1386715941733
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1386715941733
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1386715941733
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1386715941733
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1386715941733
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1386715941733
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1386715941733
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1386715941733
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1386715941733
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1386715941733
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1386715941733
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.100.I20120427-0800,"org.eclipse.equinox.weaving.aspectj",1386715941733
started,bundle,org.scala-ide.sdt.aspects,3.0.0.v-2_09-201303191340-dac2f1c,"org.scala-ide.sdt.aspects",1386715941733
started,bundle,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"org.scala-ide.sdt.core",1386715941733
started,bundle,org.scala-ide.sdt.debug,3.0.0.v-2_09-201303191340-dac2f1c,"org.scala-ide.sdt.debug",1386715941733
os,sysinfo,,,"linux",1386715941742
arch,sysinfo,,,"x86_64",1386715941742
ws,sysinfo,,,"gtk",1386715941742
locale,sysinfo,,,"en_US",1386715941742
processors,sysinfo,,,"2",1386715941742
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386715941742
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1386715941742
java.specification.name,sysinfo,,,"Java Platform API Specification",1386715941742
java.specification.vendor,sysinfo,,,"Oracle Corporation",1386715941742
java.specification.version,sysinfo,,,"1.7",1386715941742
java.vendor,sysinfo,,,"Oracle Corporation",1386715941742
java.version,sysinfo,,,"1.7.0_45",1386715941742
java.vm.info,sysinfo,,,"mixed mode",1386715941742
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1386715941742
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386715941742
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1386715941742
java.vm.specification.version,sysinfo,,,"1.7",1386715941742
java.vm.vendor,sysinfo,,,"Oracle Corporation",1386715941742
java.vm.version,sysinfo,,,"24.45-b08",1386715941742
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386715978583
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1386715987268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386715994023
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1386715999921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716004220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716005175
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386716014362
opened,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1386716018631
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1386716018842
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386716018921
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1386716020622
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1386716024815
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1386716024912
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1386716024962
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1386716025028
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1386716025216
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1386716025233
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1386716025247
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1386716025319
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1386716025350
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1386716025585
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1386716025593
started,bundle,ch.epfl.insynth,1.0.0.v-2_09-201308252129-1a5782b,"ch.epfl.insynth",1386716026005
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1386716028585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716062659
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1386716064262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716064394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716065199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716065927
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386716078566
opened,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1386716079032
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1386716079227
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386716079313
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1386716081043
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386716081128
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1386716086619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386716092145
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386716094685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716097528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716101661
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1386716102358
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1386716102376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716102719
error,log,,,"Error during askOption",1386716103089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716103304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716103420
error,log,,,"Error during askOption",1386716103509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716103769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716103803
error,log,,,"Error during askOption",1386716104705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716104964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716105012
error,log,,,"Error during askOption",1386716105286
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1386716106086
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1386716106211
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1386716106258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716107422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716109858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386716110663
error,log,,,"File not found: '/TimeSeriesPackage/src/reader/EnergyLineHandler.scala'",1386716115415
