what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803011262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803022968
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1388803041898
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388803045722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803052282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803062702
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388803065049
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388803071316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803092904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803094503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803094858
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388803095283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803103036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803208691
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388803210796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803220428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803284206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803306449
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388803310959
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388803315562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803328485
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388803330877
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388803391579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803496389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803498183
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388803498708
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388803504738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803543447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803545368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803547442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803548182
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388803548598
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388803554555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803573010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803676847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803680866
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388803687108
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388803690754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388803697128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388803698518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803699273
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388803701382
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388803704516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803732484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803849192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803916370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803937350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388803941094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388803952215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388804006031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388804999531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388807951299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388807996639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388807998847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808090605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388808102577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808107334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808108683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808110152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808114656
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1388808119114
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388808131885
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1388808152201
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388808154464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808161006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808196806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808240523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808308682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388808313834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808326406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808327682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808328601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808332263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808340242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808341961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388808360375
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1388808365370
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388808376535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808381266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808386553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388808391902
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1388808394047
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388808395944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388808508084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388808523873
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1388808529005
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1388808531582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388808568457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808570381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808649725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388808769529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388808774290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388808780138
