what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386717260314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386717277175
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1386717278113
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1386717291519
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1386717298231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386717305900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386717308204
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1386717312828
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1386717318911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386717323629
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1386717329622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386717335590
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1386717337634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386717337716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386717338232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386717338924
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1386717340871
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1386717353991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386717414971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386717437502
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1386717454124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386717470842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386717475543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386717485765
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1386717487752
