what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390073738548
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1390073754771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390073764409
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1390073771200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390073779050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390073832501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390073847164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390073871729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390073882209
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1390073904550
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1390073917553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390073944022
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390073974034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390073981196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390074011289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390074011664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390074032826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390074036011
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1390074037700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390074037717
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1390074039695
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1390074039696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390074089316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390074114494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390074116672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390074117780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390074258105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390074299616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390074301694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390074309111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390074347916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390074364464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390074393811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390074403520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390074408807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390074432343
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390074434704
error,log,,,"Core exception while retrieving the content description",1390074436238
error,log,,,"Core exception while retrieving the content description",1390074436238
error,log,,,"Core exception while retrieving the content description",1390074436239
error,log,,,"Core exception while retrieving the content description",1390074436241
error,log,,,"Core exception while retrieving the content description",1390074436241
