what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389038873001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389038877393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389038978564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389038993111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389038996675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389039022943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389039027958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389039199917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389039201311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389039301547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389039317850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389039325832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389039327418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389039328312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389039329533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389039335333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389039338142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389039358723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389039386689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389039415296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389039439324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389039531953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389039544050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389039548280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389039581085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389039600038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389039602228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389039991570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389040004857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389040053662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389040054822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389040059714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389040060909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389040089930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389040108236
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1389040115849
activated,editor,org.scalaide.worksheet,0.1.4.v-2_09-201303191346-7284c56,"org.scalaide.worksheet.editors.ScriptEditor",1389040115894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389040140569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389040169333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389040196219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389040201411
